name,ts_start,ts_end,ts_version,width,height,width_hires,height_hires,period_in_minutes,utc,image_type,timezone,webroot,expt
BVZ0006-GC02L-C01~fullres-orig,2012_11_13_14_40_00,2012_11_16_15_35_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0006,BVZ0006
BVZ0006-GC02R-C01~fullres-orig,2012_11_13_15_35_00,2012_11_16_15_35_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0006,BVZ0006
BVZ0007-GC03L-C01~fullres-orig,2012_11_21_13_40_00,2012_12_12_16_20_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0007,BVZ0007
BVZ0011-GC03L-C01~fullres-orig,2012_12_19_13_20_00,2013_03_01_16_00_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0011,BVZ0011
BVZ0011-GC03R-C01~fullres-orig,2012_11_15_15_40_00,2013_05_09_22_40_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0011,BVZ0011
BVZ0012-CG02R-C01~fullres-orig,2013_03_07_06_40_00,2013_03_30_18_00_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0012,BVZ0012
BVZ0012-GC02L-C01~fullres-orig,2013_02_22_17_20_00,2013_04_26_09_20_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0012,BVZ0012
BVZ0012-GC02R-C01~fullres-orig,2013_03_02_09_20_00,2013_04_20_14_00_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0012,BVZ0012
BVZ0012-GC03L-C01~fullres-orig,2013_03_05_15_40_00,2013_08_26_16_00_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0012,BVZ0012
BVZ0012-GC04L-C01~fullres-orig,2013_03_07_06_40_00,2013_03_30_18_00_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0012,BVZ0012
BVZ0012-GC05L-C01~fullres-orig,2013_03_04_17_40_00,2013_04_26_12_40_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0012,BVZ0012
BVZ0012-GC05R-C01~fullres-orig,2013_03_04_17_40_00,2013_04_13_16_40_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0012,BVZ0012
BVZ0015-GC02L-C01~fullres-orig,2013_09_05_06_40_00,2013_09_27_12_00_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0015,BVZ0015
BVZ0015-GC02R-C01~fullres-orig,2013_06_07_16_00_00,2013_10_04_23_40_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0015,BVZ0015
BVZ0015-GC03L-C01~fullres-orig,2013_05_29_19_40_00,2013_09_27_13_20_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0015,BVZ0015
BVZ0015-GC03R-C01~fullres-orig,2013_06_05_08_00_00,2013_10_04_23_45_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0015,BVZ0015
BVZ0016-ACA01-C01~fullres-orig,2013_05_22_15_40_00,2014_01_19_08_00_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0016,BVZ0016
BVZ0018-GC04L-C01~fullres-orig,2013_08_06_14_50_00,2013_09_13_17_40_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0018,BVZ0018
BVZ0018-GC04R-C01~fullres-orig,2013_08_06_13_25_00,2014_03_06_15_35_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0018,BVZ0018
BVZ0018-GC05L-C01~fullres-orig,2013_08_06_12_20_00,2013_09_13_17_35_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0018,BVZ0018
BVZ0018-GC05R-C01~fullres-orig,2013_08_06_12_25_00,2013_09_13_17_40_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0018,BVZ0018
BVZ0021a-GC02L-C01~fullres-orig,2013_10_29_09_45_00,2013_12_18_19_15_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0021a,BVZ0021a
